web-scraper-order,description_raw,location_raw,price_raw,price,mileage_raw,mileage,fuel_type_raw,fuel_type_Diesel,bfs_name,bfs_number,lat,lon
1733470796-1,MERCEDES-BENZ CAMPER,"MITTELSTRASSE 38, 3613 STEFFISBURG",CHF 15'900.–,15900,265'000 km,265000,Diesel,1,Bern,02,46.767906188964844,7.615882396697998
1733470799-2,CARADO I 449 ÉDITION 15 FIAT CAPRON 169L/1449,"ZONE INDUSTRIELLE LES PORTETTES 2C, 1312 ECLÉPENS",CHF 71'900.–,71900,14'000 km,14000,Diesel,1,Vaud,22,46.655277252197266,6.553426742553711
1733470801-3,DETHLEFFS FIAT DUCATO,"RTE DU ST-BERNARD 8, 1937 ORSIÈRES",CHF 37'800.–,37800,90'000 km,90000,Diesel,1,Valais,23,46.03584671020508,7.146042823791504
1733470805-4,FIAT EURO MASTER WOHNMOBIL,"BADENERSTRASSE 84, 8952 SCHLIEREN",CHF 19'900.–,19900,187'236 km,187236,Diesel,1,Zürich,01,47.39728546142578,8.434126853942871
1733470807-5,VW T6.1 CALIFORNIA 2.0 TDI OCEAN EDITION LIBERTY 4MOTION,8852 ALTENDORF,CHF 84'500.–,84500,16'500 km,16500,Diesel,1,Schwyz,05,47.16980743408203,8.801252365112305
1733470809-6,"VW T6.1 KNAUS TOURER VAN 500 MW, MEGA AUSSTATTUNG, EUROPREISVORTEIL !!! 635KG ZULADUNG",8852 ALTENDORF,CHF 69'900.–,69900,11'000 km,11000,Diesel,1,Schwyz,05,47.16980743408203,8.801252365112305
1733470812-7,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,"GÜTERSTRASSE 37, 9444 DIEPOLDSAU",CHF 56'500.–,56500,45'000 km,45000,Diesel,1,St. Gallen,17,47.39250183105469,9.650969505310059
1733470815-8,HYMER BMC 580-I,"BÜELHALDE 4, 8317 TAGELSWANGEN",CHF 115'800.–,115800,12'200 km,12200,Diesel,1,Zürich,01,47.42753982543945,8.673209190368652
1733470818-9,VW T6 CALIFORNIA 2.0 TDI BULLI BEACH EDITION 4MOTION,"BIRMENSDORFERSTRASSE 18, 8902 URDORF",CHF 51'900.–,51900,83'000 km,83000,Diesel,1,Zürich,01,47.39269256591797,8.41797161102295
1733470820-10,MERCEDES-BENZ MARCO POLO 250 D 7G-TRONIC,"NEUMATT 10, 4626 NIEDERBUCHSITEN",CHF 49'900.–,49900,113'000 km,113000,Diesel,1,Solothurn,11,47.2994270324707,7.768882751464844
1733470825-12,FORD NUGGET,"HARDSTRASSE 78, 4657 DULLIKEN",CHF 49'900.–,49900,23'500 km,23500,Diesel,1,Solothurn,11,47.349239349365234,7.9577460289001465
1733470830-13,FIAT ***  PILOTE AVENTURA T670 - FIAT DUCATO 2.3 131PS ***,"KRIESBACHSTRASSE 7, 8304 WALLISELLEN",CHF 28'900.–,28900,140'000 km,140000,Diesel,1,Zürich,01,47.409698486328125,8.61287784576416
1733470834-15,FIAT TRIGANO GRANDUCA 64,2556 SCHWADERNAU,CHF 15'999.–,15999,105'000 km,105000,Diesel,1,Bern,02,47.11965560913086,7.325146675109863
1733470839-17,VW T4,"SCHACHENSTRASSE 8, 5014 GRETZENBACH",CHF 6'800.–,6800,241'912 km,241912,Benzin,0,Solothurn,11,47.359962463378906,7.9829511642456055
1733470842-18,FIAT *** FAMILIEN WOHNMOBIL - MCLOUIS ALKOVEN - KAJÜTENBETTEN - KLIMA - TEMPOMAT  ***,"KRIESBACHSTRASSE 7, 8304 WALLISELLEN",CHF 28'700.–,28700,86'000 km,86000,Diesel,1,Zürich,01,47.409698486328125,8.61287784576416
1733470849-21,FIAT DUCATO,"SCHACHENSTRASSE 8, 5014 GRETZENBACH",CHF 11'800.–,11800,215'456 km,215456,Diesel,1,Bern,02,47.15525436401367,7.330783367156982
1733470851-22,VW TYP 2 / REIMO,"INDUSTRIESTRASSE 7, 2553 SAFNERN",CHF 14'900.–,14900,152'000 km,152000,Diesel,1,Zürich,01,47.382022857666016,8.666350364685059
1733470858-25,VW T6.1 CALIFORNIA 2.0 TDI OCEAN LIBERTY,"ST. GALLERSTRASSE 99, 9032 ENGELBURG",CHF 58'890.–,58890,16'800 km,16800,Diesel,1,Vaud,22,46.73106002807617,6.534222602844238
1733470860-26,MERCEDES-BENZ MARCO POLO HORIZON 250 D 4MATIC 7G-TRONIC,"BRÜHLMATTEN 7 , ( INDUSTRIEZONE BRÜHL ), 4800 ZOFINGEN",CHF 55'900.–,55900,79'249 km,79249,Diesel,1,Fribourg,10,46.82259750366211,7.301876544952393
1733470863-27,BÜRSTNER,1350 ORBE,CHF 39'990.–,39990,69'980 km,69980,Diesel,1,Bern,02,47.18526840209961,7.377481460571289
1733470867-29,PEUGEOT BOXER,"SOLOTHURNSTRASSE 75, 2543 LENGNAU",CHF 6'000.–,6000,213'900 km,213900,Diesel,1,Zürich,01,47.409698486328125,8.61287784576416
1733470870-30,PEUGEOT BOXER,"HAUPTSTRASSE 92 A, 9430 ST.MARGRETHEN",CHF 5'999.–,5999,295'100 km,295100,Diesel,1,Basel-Landschaft,13,47.52214813232422,7.672452449798584
1733470872-31,WESTFALIA *** .BIG NUGGET - FORD TRANSIT 2.2 TDCI - DUSCHE - WC -  ***,"KRIESBACHSTRASSE 7, 8304 WALLISELLEN",CHF 14'700.–,14700,290'000 km,290000,Diesel,1,Aargau,19,47.525123596191406,8.323613166809082
1733470880-33,MERCEDES-BENZ MARCO POLO 250 D  4M A,"GÜTERSTRASSE 99, 4133 PRATTELN",CHF 78'900.–,78900,15'000 km,15000,Diesel,1,Bern,02,47.11965560913086,7.325146675109863
1733470882-34,VW GRAND CALIFORNIA 600 2.0 BI-TDI,"LANDSTRASSE 62, 5426 LENGNAU",CHF 69'000.–,69000,12'000 km,12000,Diesel,1,Zürich,01,47.45178985595703,8.444846153259277
1733470887-36,VW ORIGINAL VANAGON CAMPER AUTOMAT HUBDACH KÜCHE,2556 SCHWADERNAU,CHF 7'700.–,7700,125'000 km,125000,Benzin,0,Aargau,19,47.5765380859375,8.314477920532227
1733470889-37,MERCEDES-BENZ 316 CDI,"RIEDACKERWEG 14, 8107 BUCHS",CHF 8'600.–,8600,223'000 km,223000,Diesel,1,Bern,02,46.774803161621094,7.615665435791016
1733470892-38,PEUGEOT LEICHTER MOTOTWAGEN,"KANTONSSTRASSE 331, 3900 GAMSEN",CHF 3'500.–,3500,175'500 km,175500,Diesel,1,Zürich,01,47.47664260864258,8.702418327331543
1733470895-39,CITROEN WOHNMOBIL,"ZÜRCHERSTRASSE 42, 5330 BAD ZURZACH",CHF 39'300.–,39300,110'000 km,110000,Diesel,1,Vaud,22,46.597469329833984,6.542710781097412
1733470899-40,NIESMANN + BISCHOFF ISMOVE 6.9 E,"BERNSTRASSE 115, 3613 STEFFISBURG",CHF 109'000.–,109000,25'300 km,25300,Diesel,1,Thurgau,20,47.54833221435547,8.849271774291992
1733470901-41,FIAT ADRIA SUN LIVING A70DK - AB MFK & GASPRÜFUNG,"STEIGSTRASSE 26, 8406 WINTERTHUR",CHF 49'900.–,49900,20'552 km,20552,Diesel,1,Basel-Landschaft,13,47.523582458496094,7.711702823638916
1733470904-42,IVECO 35.10 TURBO DAILY,"ROUTE DE SULLENS 9, 1303 PENTHAZ VD",CHF 3'900.–,3900,192'000 km,192000,Diesel,1,Zürich,01,47.272743225097656,8.43922233581543
